unique_id,timestamp,tag,y_pred,target_date,runtime,model_version,model_note
44f8671c-7210-482f-881c-2cb72bdb3d4c,1589102005.432874,TOTAL,[227701.525],2019-09-12,000:00:00,0.1,supervised learing model for time-series
2a974729-be91-4b6d-bc55-04b662cf2f6d,1589102006.080283,TOTAL,[192953.8552],2019-08-21,000:00:00,0.1,supervised learing model for time-series
8d639b2c-f225-4ec9-b012-9d9cd00bac64,1589102006.8390033,TOTAL,[332783.426],2019-11-02,000:00:00,0.1,supervised learing model for time-series
95160879-e879-4ccf-a926-fdbc0969ecce,1589102007.4800613,TOTAL,[207695.545],2019-09-03,000:00:00,0.1,supervised learing model for time-series
8e9cc530-a3d1-4cac-95b4-203430b06e57,1589102008.1250181,TOTAL,[141641.992],2019-08-07,000:00:00,0.1,supervised learing model for time-series
ce7ecb7f-00a2-436a-9723-cb44037e7f1b,1589102008.843019,TOTAL,[335137.795],2019-10-28,000:00:00,0.1,supervised learing model for time-series
cf8d8783-e8dd-461d-8655-4d17e483be05,1589102009.4940174,TOTAL,[327930.187],2019-10-27,000:00:00,0.1,supervised learing model for time-series
6b1f61c0-96ba-4284-9b63-33922b0dd294,1589102010.1180205,TOTAL,[138730.841],2019-08-08,000:00:00,0.1,supervised learing model for time-series
b1dcec55-c32e-4ee4-92e1-ab66d1c81eae,1589102010.7740679,TOTAL,[331585.166],2019-10-31,000:00:00,0.1,supervised learing model for time-series
adf8fa66-ddd5-4cf8-8078-752623a48a3b,1589102011.409018,TOTAL,[251794.3102],2019-09-29,000:00:00,0.1,supervised learing model for time-series
f5021d14-08e4-4201-b1a0-4b3c4088cbad,1589102012.0750232,TOTAL,[261191.5692],2019-09-30,000:00:00,0.1,supervised learing model for time-series
46285c2a-3aba-4c7b-bf20-94bd96e5e4e3,1589102012.7120228,TOTAL,[327072.43],2019-11-01,000:00:00,0.1,supervised learing model for time-series
30b1e85c-b2bb-4b35-b10c-3f5c272c1f91,1589102013.3500738,TOTAL,[304873.189],2019-10-15,000:00:00,0.1,supervised learing model for time-series
9eba1e41-1c97-4961-8c48-182b7900b6e2,1589102013.9971147,TOTAL,[229918.43],2019-09-10,000:00:00,0.1,supervised learing model for time-series
23018ccb-8fdc-4501-b961-20e9e1c820c3,1589102014.6250682,TOTAL,[251794.3102],2019-09-29,000:00:00,0.1,supervised learing model for time-series
76bc22e5-af4b-4d42-9646-f2c1a25c2c53,1589102015.2460706,TOTAL,[279829.949],2019-10-11,000:00:00,0.1,supervised learing model for time-series
df72a18f-67f5-476a-989e-dbcfc4594667,1589102015.883069,TOTAL,[304476.579],2019-10-17,000:00:00,0.1,supervised learing model for time-series
59a85750-8287-4410-bbea-c0293f53e000,1589102016.5170672,TOTAL,[203825.116],2019-09-01,000:00:00,0.1,supervised learing model for time-series
f7499075-7ab0-4c81-b562-784ca7f05667,1589102017.14811,TOTAL,[192953.8552],2019-08-21,000:00:00,0.1,supervised learing model for time-series
5f1bb3f6-66eb-4356-894d-2486a8596c65,1589102017.7821147,TOTAL,[327930.187],2019-10-27,000:00:00,0.1,supervised learing model for time-series
1b9e639b-6b32-419a-a3c4-5edbcc32bb83,1589102018.4981575,TOTAL,[221467.923],2019-09-07,000:00:00,0.1,supervised learing model for time-series
eaaf71db-a795-4836-a61c-2a017b78e1ac,1589102019.3762283,TOTAL,[260540.07],2019-10-02,000:00:00,0.1,supervised learing model for time-series
770ee26f-3a0c-4096-9bc5-63f7b02f6aaa,1589102020.250247,TOTAL,[332783.426],2019-11-02,000:00:00,0.1,supervised learing model for time-series
ebf928d5-e185-4c9c-bad2-e69c70a201f1,1589102021.1508012,TOTAL,[328604.619],2019-10-24,000:00:00,0.1,supervised learing model for time-series
b3e68096-896a-40d2-a325-e9137bb2a64e,1589102022.0237668,TOTAL,[235593.098],2019-09-18,000:00:00,0.1,supervised learing model for time-series
eb0c2eed-0964-4c7a-8879-89f00e7c6f1e,1589102022.8665626,TOTAL,[331585.166],2019-10-31,000:00:00,0.1,supervised learing model for time-series
3a4965d5-0f2a-4889-a33c-c6eac34811cb,1589102023.6585252,TOTAL,[206121.524],2019-09-02,000:00:00,0.1,supervised learing model for time-series
5eeb068a-bd8e-48aa-bfea-3265fd052227,1589102024.3435574,TOTAL,[336562.928],2019-10-30,000:00:00,0.1,supervised learing model for time-series
4371aca7-9f70-4c58-b3c7-3445e0c22901,1589102025.2415617,TOTAL,[191901.0574],2019-08-20,000:00:00,0.1,supervised learing model for time-series
3e4acd28-eccd-4030-ac55-7d70462c2d9d,1589102026.1215262,TOTAL,[318195.771],2019-10-26,000:00:00,0.1,supervised learing model for time-series
4da1c737-f25b-4786-97e3-ea8304fcca8c,1589102027.118561,TOTAL,[251794.3102],2019-09-29,000:00:00,0.1,supervised learing model for time-series
a5e4ca44-77fb-4c5d-9a65-612999215a3d,1589102028.0885284,TOTAL,[148791.794],2019-08-02,000:00:00,0.1,supervised learing model for time-series
49ac0c03-4f3f-4175-bd9a-8a16a2cc53ba,1589102029.0225255,TOTAL,[208054.976],2019-09-14,000:00:00,0.1,supervised learing model for time-series
113f77ac-68d1-4177-8d0d-a55c5d500c24,1589102029.882559,TOTAL,[285783.513],2019-10-12,000:00:00,0.1,supervised learing model for time-series
f54dc854-5b9b-4637-8ce3-bfc76a0554e1,1589102030.6075253,TOTAL,[251352.508],2019-10-05,000:00:00,0.1,supervised learing model for time-series
4df8ad76-4492-4323-9097-2c14e24de96b,1589102031.3925276,TOTAL,[137218.144],2019-08-10,000:00:00,0.1,supervised learing model for time-series
03e59ab6-9150-4ebf-8f3f-5edbe6832c10,1589102032.1650887,TOTAL,[140552.157],2019-08-01,000:00:00,0.1,supervised learing model for time-series
7f55ca33-70f1-4d2d-a999-f9e58ea7fde9,1589102032.8770523,TOTAL,[138730.841],2019-08-08,000:00:00,0.1,supervised learing model for time-series
af0d72a8-f8f2-4975-a290-47abc2d123a7,1589102033.5990973,TOTAL,[286042.29],2019-10-10,000:00:00,0.1,supervised learing model for time-series
1e3f12a2-8d1a-4143-a3e9-7d7f6d377d91,1589102034.286095,TOTAL,[148791.794],2019-08-02,000:00:00,0.1,supervised learing model for time-series
5bf4f764-ed0b-4471-aa5d-d7bdeffdc391,1589102034.926674,TOTAL,[226622.2658],2019-09-22,000:00:00,0.1,supervised learing model for time-series
62c43822-ab4d-4e20-b0dd-dc761e6682a1,1589102035.5526745,TOTAL,[279665.39],2019-10-09,000:00:00,0.1,supervised learing model for time-series
f977be17-5cbc-4e22-99b3-dc0dedd0c6a8,1589102036.1896794,TOTAL,[192953.8552],2019-08-21,000:00:00,0.1,supervised learing model for time-series
17021685-2d96-4a14-922d-50ec13e3a37b,1589102036.832711,TOTAL,[188523.6571],2019-08-24,000:00:00,0.1,supervised learing model for time-series
7203751b-0d0b-4914-87a6-8e5a0bd8a7cb,1589102037.5037098,TOTAL,[380220.118],2019-11-04,000:00:00,0.1,supervised learing model for time-series
89b891a7-9a93-43fe-8c38-674ca2604ca7,1589102038.1457016,TOTAL,[197627.4279],2019-08-29,000:00:00,0.1,supervised learing model for time-series
37b60c56-09a5-43e7-88fc-56c0c3bc8a65,1589102038.7827375,TOTAL,[304873.189],2019-10-15,000:00:00,0.1,supervised learing model for time-series
a445e992-9498-4741-82e0-5835302b9dc1,1589102039.4128337,TOTAL,[148306.752],2019-08-12,000:00:00,0.1,supervised learing model for time-series
c206edfd-92ec-48d8-8bb9-11cf2552b324,1589102040.0607321,TOTAL,[222613.838],2019-09-16,000:00:00,0.1,supervised learing model for time-series
dae8dd5d-6add-4447-a5cf-e3538f01eb59,1589102040.7047017,TOTAL,[192953.8552],2019-08-21,000:00:00,0.1,supervised learing model for time-series
fd57897b-fda1-43ad-a833-e76eca2e178b,1589102041.3487046,TOTAL,[228690.7983],2019-09-23,000:00:00,0.1,supervised learing model for time-series
d5f33943-a210-4662-b210-d5a7124e5585,1589102041.9927523,TOTAL,[337090.505],2019-10-29,000:00:00,0.1,supervised learing model for time-series
8d45dc3a-2269-4894-a869-1a790ccea8d9,1589102042.6147985,TOTAL,[188523.6571],2019-08-24,000:00:00,0.1,supervised learing model for time-series
3f729a30-e003-4b71-865d-f5871b851234,1589102043.2478414,TOTAL,[149190.912],2019-08-13,000:00:00,0.1,supervised learing model for time-series
f4715021-56e2-4ddc-af2a-01818f5c0642,1589102043.8838453,TOTAL,[257919.804],2019-10-03,000:00:00,0.1,supervised learing model for time-series
72c6503b-d223-483f-b031-ed17f46014ae,1589102044.5288413,TOTAL,[140010.393],2019-08-05,000:00:00,0.1,supervised learing model for time-series
49f6ce7e-18aa-4e75-817a-75357aef2a04,1589102045.2148414,TOTAL,[315196.627],2019-10-21,000:00:00,0.1,supervised learing model for time-series
c23d179f-dba0-4211-bdbd-edd36a4f00ae,1589102045.9438424,TOTAL,[165004.808],2019-08-14,000:00:00,0.1,supervised learing model for time-series
eccab06c-3257-4365-b6fe-a41cb9ca1097,1589102046.6338835,TOTAL,[165004.808],2019-08-14,000:00:00,0.1,supervised learing model for time-series
0b83a7e0-0bca-4490-b606-70c84f86b192,1589102047.2778847,TOTAL,[328604.619],2019-10-24,000:00:00,0.1,supervised learing model for time-series
85a823e5-6ee9-4c7f-9b53-083d5e7ee801,1589102047.9558794,TOTAL,[217191.879],2019-09-06,000:00:00,0.1,supervised learing model for time-series
b39d3010-6f62-4eb4-bc6b-446764916559,1589102048.5830116,TOTAL,[203825.116],2019-09-01,000:00:00,0.1,supervised learing model for time-series
9ccb5311-0dcd-481f-b48d-92451b2963c0,1589102049.2159684,TOTAL,[304476.579],2019-10-17,000:00:00,0.1,supervised learing model for time-series
7e46b5f9-33bd-467a-a377-d916a6cd9ffb,1589102049.8569686,TOTAL,[261191.5692],2019-09-30,000:00:00,0.1,supervised learing model for time-series
9848d513-1057-4d53-91bf-e048894845cc,1589102050.494012,TOTAL,[219508.079],2019-09-05,000:00:00,0.1,supervised learing model for time-series
840a21bc-58f1-4605-bcd7-cf24f84cb379,1589102051.138002,TOTAL,[233473.408],2019-09-17,000:00:00,0.1,supervised learing model for time-series
7fd0e7bb-e4cd-436f-bd62-071975a80dae,1589102051.8059697,TOTAL,[226766.426],2019-09-19,000:00:00,0.1,supervised learing model for time-series
77c30884-fc2e-47eb-ae29-1f37fa7d61f3,1589102052.459523,TOTAL,[226766.426],2019-09-19,000:00:00,0.1,supervised learing model for time-series
05c8931b-5f37-4523-a03e-341fd371941c,1589102053.0910788,TOTAL,[197627.4279],2019-08-29,000:00:00,0.1,supervised learing model for time-series
bd989695-b92c-4324-a658-1fda7167cf3d,1589102053.7401717,TOTAL,[325175.014],2019-10-22,000:00:00,0.1,supervised learing model for time-series
6a56674d-0f1b-4c2f-a181-ca9d49b46a94,1589102054.3641374,TOTAL,[235593.098],2019-09-18,000:00:00,0.1,supervised learing model for time-series
e3c4a973-6dba-417d-9c11-aeb92184026a,1589102054.9961424,TOTAL,[226622.2658],2019-09-22,000:00:00,0.1,supervised learing model for time-series
307d3e4b-6340-4f5b-abce-9f0f7b3a15b6,1589102055.628143,TOTAL,[136787.027],2019-08-04,000:00:00,0.1,supervised learing model for time-series
31443aeb-4711-4d8c-b3c1-56330275aa43,1589102056.254282,TOTAL,[276082.282],2019-10-08,000:00:00,0.1,supervised learing model for time-series
c7c88b49-1b6b-444a-b041-f784fe2bc08f,1589102056.8963253,TOTAL,[315196.627],2019-10-21,000:00:00,0.1,supervised learing model for time-series
464745e1-270c-45f9-8103-0a2916e06624,1589102057.5372987,TOTAL,[220892.0596],2019-09-20,000:00:00,0.1,supervised learing model for time-series
2d69b1f8-faf3-4a86-a453-3fba1be37c97,1589102058.171283,TOTAL,[366709.89],2019-11-06,000:00:00,0.1,supervised learing model for time-series
ef0f0975-68ae-4c34-8d81-6db1030142a7,1589102058.8063216,TOTAL,[188793.3697],2019-08-22,000:00:00,0.1,supervised learing model for time-series
78e7ccd7-a540-4a73-9b42-5aaf2a429269,1589102059.4503272,TOTAL,[222613.838],2019-09-16,000:00:00,0.1,supervised learing model for time-series
eac38f68-7922-4edb-8eac-d68ebe7413b4,1589102060.084325,TOTAL,[188523.6571],2019-08-24,000:00:00,0.1,supervised learing model for time-series
6ae70f01-f891-44ce-a958-04784723a01a,1589102060.7283955,TOTAL,[343320.546],2019-11-03,000:00:00,0.1,supervised learing model for time-series
8131aa83-a820-4e1f-80d8-cd2f076b5a49,1589102061.3553498,TOTAL,[335137.795],2019-10-28,000:00:00,0.1,supervised learing model for time-series
f20e030e-597d-46e4-b727-210d688a247d,1589102062.0033526,TOTAL,[206092.9599],2019-09-04,000:00:00,0.1,supervised learing model for time-series
1f5422bc-4832-49cc-b89a-9b35b0a6ee00,1589102062.636357,TOTAL,[222613.838],2019-09-16,000:00:00,0.1,supervised learing model for time-series
fade27c1-c937-4e16-b75a-10b35fb767c9,1589102063.2970448,TOTAL,[165004.808],2019-08-14,000:00:00,0.1,supervised learing model for time-series
d9572fce-70b3-417c-b2bf-c4b7a23bbfef,1589102063.9176238,TOTAL,[226622.2658],2019-09-22,000:00:00,0.1,supervised learing model for time-series
9217bfd9-f616-4cbc-bf0e-c7b248b29959,1589102064.5476115,TOTAL,[258995.463],2019-10-01,000:00:00,0.1,supervised learing model for time-series
9a865c2d-e01b-4b02-8b60-59c5b02beb5d,1589102065.1746004,TOTAL,[328604.619],2019-10-24,000:00:00,0.1,supervised learing model for time-series
3bc67d4e-60d5-45d5-aef0-dd7b3da0bce9,1589102065.8026063,TOTAL,[276583.73],2019-10-07,000:00:00,0.1,supervised learing model for time-series
52f360fb-18ad-4f4c-87a7-873d9908106c,1589102066.4312587,TOTAL,[302759.979],2019-10-19,000:00:00,0.1,supervised learing model for time-series
5989c7e9-9463-41ed-8db5-6e5cebcaf050,1589102067.1673043,TOTAL,[138730.841],2019-08-08,000:00:00,0.1,supervised learing model for time-series
75b7564c-8ad9-4299-ba87-6affbc208cc0,1589102067.8007789,TOTAL,[140552.157],2019-08-01,000:00:00,0.1,supervised learing model for time-series
